date,product_id,product_name,category,quantity_sold,unit_price,total_sales
2025-01-01,P001,Rice 5kg,Groceries,26,320,8320
2025-01-01,P002,Wheat Flour 5kg,Groceries,14,260,3640
2025-01-01,P003,Cooking Oil 1L,Groceries,18,150,2700
2025-01-01,P004,Sugar 1kg,Groceries,14,55,770
2025-01-01,P005,Milk 1L,Dairy,34,60,2040
2025-01-01,P006,Biscuits Pack,Snacks,24,40,960
2025-01-01,P007,Soap Bar,Personal Care,17,35,595
2025-01-01,P008,Shampoo 200ml,Personal Care,9,180,1620
2025-01-01,P009,Toothpaste 150g,Personal Care,12,110,1320
2025-01-01,P010,Detergent 1kg,Household,13,140,1820
2025-01-02,P001,Rice 5kg,Groceries,21,320,6720
2025-01-02,P002,Wheat Flour 5kg,Groceries,18,260,4680
2025-01-02,P003,Cooking Oil 1L,Groceries,15,150,2250
2025-01-02,P004,Sugar 1kg,Groceries,14,55,770
2025-01-02,P005,Milk 1L,Dairy,32,60,1920
2025-01-02,P006,Biscuits Pack,Snacks,22,40,880
2025-01-02,P007,Soap Bar,Personal Care,12,35,420
2025-01-02,P008,Shampoo 200ml,Personal Care,11,180,1980
2025-01-02,P009,Toothpaste 150g,Personal Care,15,110,1650
2025-01-02,P010,Detergent 1kg,Household,13,140,1820
2025-01-03,P001,Rice 5kg,Groceries,28,320,8960
2025-01-03,P002,Wheat Flour 5kg,Groceries,20,260,5200
2025-01-03,P003,Cooking Oil 1L,Groceries,18,150,2700
2025-01-03,P004,Sugar 1kg,Groceries,13,55,715
2025-01-03,P005,Milk 1L,Dairy,37,60,2220
2025-01-03,P006,Biscuits Pack,Snacks,20,40,800
2025-01-03,P007,Soap Bar,Personal Care,11,35,385
2025-01-03,P008,Shampoo 200ml,Personal Care,9,180,1620
2025-01-03,P009,Toothpaste 150g,Personal Care,15,110,1650
2025-01-03,P010,Detergent 1kg,Household,18,140,2520
2025-01-04,P001,Rice 5kg,Groceries,32,320,10240
2025-01-04,P002,Wheat Flour 5kg,Groceries,23,260,5980
2025-01-04,P003,Cooking Oil 1L,Groceries,23,150,3450
2025-01-04,P004,Sugar 1kg,Groceries,23,55,1265
2025-01-04,P005,Milk 1L,Dairy,32,60,1920
2025-01-04,P006,Biscuits Pack,Snacks,26,40,1040
2025-01-04,P007,Soap Bar,Personal Care,19,35,665
2025-01-04,P008,Shampoo 200ml,Personal Care,13,180,2340
2025-01-04,P009,Toothpaste 150g,Personal Care,18,110,1980
2025-01-04,P010,Detergent 1kg,Household,20,140,2800
2025-01-05,P001,Rice 5kg,Groceries,30,320,9600
2025-01-05,P002,Wheat Flour 5kg,Groceries,16,260,4160
2025-01-05,P003,Cooking Oil 1L,Groceries,20,150,3000
2025-01-05,P004,Sugar 1kg,Groceries,16,55,880
2025-01-05,P005,Milk 1L,Dairy,27,60,1620
2025-01-05,P006,Biscuits Pack,Snacks,22,40,880
2025-01-05,P007,Soap Bar,Personal Care,13,35,455
2025-01-05,P008,Shampoo 200ml,Personal Care,11,180,1980
2025-01-05,P009,Toothpaste 150g,Personal Care,16,110,1760
2025-01-05,P010,Detergent 1kg,Household,18,140,2520
2025-01-06,P001,Rice 5kg,Groceries,22,320,7040
2025-01-06,P002,Wheat Flour 5kg,Groceries,15,260,3900
2025-01-06,P003,Cooking Oil 1L,Groceries,18,150,2700
2025-01-06,P004,Sugar 1kg,Groceries,19,55,1045
2025-01-06,P005,Milk 1L,Dairy,32,60,1920
2025-01-06,P006,Biscuits Pack,Snacks,23,40,920
2025-01-06,P007,Soap Bar,Personal Care,12,35,420
2025-01-06,P008,Shampoo 200ml,Personal Care,12,180,2160
2025-01-06,P009,Toothpaste 150g,Personal Care,11,110,1210
2025-01-06,P010,Detergent 1kg,Household,16,140,2240
2025-01-07,P001,Rice 5kg,Groceries,30,320,9600
2025-01-07,P002,Wheat Flour 5kg,Groceries,19,260,4940
2025-01-07,P003,Cooking Oil 1L,Groceries,21,150,3150
2025-01-07,P004,Sugar 1kg,Groceries,17,55,935
2025-01-07,P005,Milk 1L,Dairy,35,60,2100
2025-01-07,P006,Biscuits Pack,Snacks,25,40,1000
2025-01-07,P007,Soap Bar,Personal Care,12,35,420
2025-01-07,P008,Shampoo 200ml,Personal Care,8,180,1440
2025-01-07,P009,Toothpaste 150g,Personal Care,12,110,1320
2025-01-07,P010,Detergent 1kg,Household,15,140,2100
2025-01-08,P001,Rice 5kg,Groceries,21,320,6720
2025-01-08,P002,Wheat Flour 5kg,Groceries,22,260,5720
2025-01-08,P003,Cooking Oil 1L,Groceries,24,150,3600
2025-01-08,P004,Sugar 1kg,Groceries,15,55,825
